App,Category,Rating,Reviews,Size,Installs,Type,Price ($),Content Rating,Genres,Last Updated,Current Ver,Android Ver
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5M,50000,Free,0,Everyone,Auto & Vehicles,"October 14, 2016",1.0,2.3 and up
Pocket Lab Values,MEDICAL,4.3,214,899k,10000,Paid,299,Everyone,Medical,"November 22, 2012",2.5,2.1 and up
DTPay,SHOPPING,4.5,18,994k,1000,Free,0,Everyone,Shopping,"July 11, 2018",0.8.2,4.0 and up
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002859,35M,100000000,Free,0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up
Verdad o Reto,SOCIAL,3.8,826,5.1M,500000,Free,0,Teen,Social,"May 10, 2018",2.0,4.1 and up
Invoice 2go — Professional Invoices and Estimates,BUSINESS,4.2,16422,28M,1000000,Free,0,Everyone,Business,"August 1, 2018",10.46.2,4.1 and up
BL 女性向け恋愛ゲーム◆ごくメン,FAMILY,4.2,1901,8.2M,100000,Free,0,Mature 17+,Simulation,"July 7, 2016",1.3.0,2.3.3 and up
Overcomers CF - GA,LIFESTYLE,5.0,7,11M,100,Free,0,Everyone,Lifestyle,"March 20, 2017",1.1,4.1 and up
"CU: UPI Payments, Chat & Call",FINANCE,4.3,693,32M,100000,Free,0,Teen,Finance,"May 3, 2018",1.0.95,4.2 and up
Phoenix and Arizona Cameras,TRAVEL_AND_LOCAL,4.1,134,5.3M,10000,Free,0,Everyone,Travel & Local,"June 20, 2018",6.3.4,4.0.3 and up
BTS V Kim Taehyung Wallpapers Kpop HD New,PERSONALIZATION,4.8,51,3.4M,5000,Free,0,Everyone,Personalization,"June 10, 2018",1.1.1,4.0 and up
AE Air Hockey,SPORTS,3.8,926,7.6M,50000,Free,0,Everyone,Sports,"August 1, 2013",1.0.0,2.2 and up
Block Puzzle,GAME,4.6,59800,7.8M,5000000,Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up
CB-Mobile Banking,FINANCE,4.5,96,12M,10000,Free,0,Everyone,Finance,"June 22, 2018",4.17.38,4.4 and up
Angry Birds Match,FAMILY,4.7,227401,91M,5000000,Free,0,Everyone,Puzzle,"July 19, 2018",1.5.0,5.0 and up
CF-Bench,TOOLS,4.4,2132,103k,100000,Free,0,Everyone,Tools,"July 3, 2013",1.3,2.1 and up
The 5th Stand,SPORTS,4.8,1697,17M,100000,Free,0,Everyone,Sports,"July 31, 2018",1.2.677,4.4 and up
Minion Rush: Despicable Me Official Game,FAMILY,4.5,10214862,Varies with device,100000000,Free,0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",Varies with device,Varies with device
Quora,SOCIAL,4.5,313633,Varies with device,10000000,Free,0,Teen,Social,"July 25, 2018",Varies with device,Varies with device
Barisal University App-BU Face,FAMILY,5.0,100,10M,1000,Free,0,Everyone,Education,"May 6, 2018",3.1.1,4.0.3 and up
Economic Times : Market News,NEWS_AND_MAGAZINES,4.3,93708,Varies with device,5000000,Free,0,Everyone,News & Magazines,"July 9, 2018",Varies with device,Varies with device
World History Quick e-Book,FAMILY,4.4,1657,4.9M,100000,Free,0,Everyone,Education;Education,"July 17, 2018",1.35,4.1 and up
FanDuel: Daily Fantasy Sports,SPORTS,4.6,29673,57M,1000000,Free,0,Mature 17+,Sports,"August 6, 2018",2.46.1,5.0 and up
Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59,8.1M,1000,Paid,170,Everyone,Personalization,"August 16, 2015",1.05,2.2 and up
DS note,PRODUCTIVITY,3.9,2046,60M,100000,Free,0,Everyone,Productivity,"June 11, 2018",1.10.1,4.4 and up
Noot-Noot-er!,FAMILY,4.5,74,2.8M,5000,Free,0,Everyone,Entertainment,"November 22, 2017",2.0,4.0.3 and up
Black Theme Go Launcher EX,PERSONALIZATION,4.1,285,3.9M,50000,Free,0,Teen,Personalization,"October 3, 2017",5.0,2.3 and up
AT&T THANKS®,FAMILY,3.4,2445,34M,500000,Free,0,Everyone,Entertainment,"July 11, 2018",1.4.0,5.0 and up
AJ Styles HD Wallpapers,ART_AND_DESIGN,4.8,48,25M,5000,Free,0,Everyone,Art & Design,"August 4, 2018",1.1.1,4.1 and up
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107948,Varies with device,10000000,Free,0,Everyone,Education,"August 2, 2018",Varies with device,Varies with device
Bowmasters,GAME,4.7,1536349,Varies with device,50000000,Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up
"FIFA - Tournaments, Soccer News & Live Scores",SPORTS,4.2,342909,6.0M,10000000,Free,0,Everyone,Sports,"August 3, 2018",4.3.1,4.4 and up
E*TRADE Mobile,FINANCE,3.9,10657,58M,1000000,Free,0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up
Calculator L,PRODUCTIVITY,4.5,2965,2.4M,100000,Free,0,Everyone,Productivity,"May 10, 2015",1.1.3,4.3 and up
Fast Secure VPN,TOOLS,4.3,56848,9.6M,1000000,Free,0,Everyone,Tools,"May 18, 2018",1.6.11,4.1 and up
Clean Master Lite - For Low-End Phone,TOOLS,4.6,2246379,5.1M,50000000,Free,0,Everyone,Tools,"June 28, 2018",2.1.4,4.0 and up
News360: Personalized News,NEWS_AND_MAGAZINES,4.4,30722,Varies with device,1000000,Free,0,Teen,News & Magazines,"August 2, 2018",Varies with device,Varies with device
Google Street View,TRAVEL_AND_LOCAL,4.2,2129707,Varies with device,1000000000,Free,0,Everyone,Travel & Local,"August 6, 2018",Varies with device,Varies with device
AP Flashcards,FAMILY,3.7,88,41M,10000,Free,0,Everyone,Education,"August 30, 2015",1.3.14,3.1 and up
Newegg Mobile,SHOPPING,4.5,35479,16M,1000000,Free,0,Everyone,Shopping,"July 11, 2018",4.16.0,4.4 and up
RAR,TOOLS,4.4,669901,Varies with device,50000000,Free,0,Everyone,Tools,"August 7, 2018",Varies with device,Varies with device
UC Browser - Fast Download Private & Secure,COMMUNICATION,4.5,17712922,40M,500000000,Free,0,Teen,Communication,"August 2, 2018",12.8.5.1121,4.0 and up
Auction Wars : Storage King,GAME,4.1,29062,63M,1000000,Free,0,Everyone,Casino,"September 15, 2017",2.10,2.3 and up
Wipe out,EVENTS,4.7,30,Varies with device,500,Free,0,Teen,Events,"May 23, 2018",Varies with device,Varies with device
Once - Quality Matches Every day,DATING,4.4,222888,21M,1000000,Free,0,Mature 17+,Dating,"July 17, 2018",2.45,4.1 and up
Talking Tom Gold Run,GAME,4.6,2698889,78M,100000000,Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up
Lavender Emoji Keyboard Theme,PERSONALIZATION,4.1,12008,6.1M,1000000,Free,0,Everyone,Personalization,"May 27, 2016",5.0,4.0 and up
BakaReader EX,BOOKS_AND_REFERENCE,4.3,8894,2.3M,100000,Free,0,Everyone,Books & Reference,"July 23, 2018",1.1.51,4.0 and up
Voice Lock Screen,LIFESTYLE,3.7,6667,2.7M,1000000,Free,0,Everyone,Lifestyle,"April 2, 2018",2.4.2,4.0 and up
ATI Cargoes and Transportation,BUSINESS,4.7,4162,7.5M,100000,Free,0,Everyone,Business,"July 24, 2018",0.9.4,4.0.3 and up
Casa de Bolsa Bx+ Móvil,FINANCE,3.4,5,8.8M,500,Free,0,Everyone,Finance,"July 18, 2017",1.0.7,4.0 and up
C Offline Tutorial,BOOKS_AND_REFERENCE,4.7,88,4.2M,1000,Free,0,Everyone,Books & Reference,"December 8, 2017",1.0.1,4.1 and up
BC's Pizza,LIFESTYLE,4.7,113,20M,1000,Free,0,Everyone,Lifestyle,"September 30, 2016",3.0.0,4.0 and up
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,100000,Free,0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up
Free Fur All – We Bare Bears,FAMILY,4.2,256916,25M,10000000,Free,0,Everyone,Arcade;Action & Adventure,"October 8, 2015",1.0.4,4.0 and up
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,10000000,Free,0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up
CT Neck,MEDICAL,4.4,7,8.9M,1000,Free,0,Everyone,Medical,"January 20, 2018",2.0,4.0 and up
"KAYAK Flights, Hotels & Cars",TRAVEL_AND_LOCAL,4.5,216388,19M,10000000,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5M,10000000,Free,0,Everyone,Tools,"July 7, 2018",2.4.1,4.1 and up
War Z 2,FAMILY,4.5,97071,87M,5000000,Free,0,Teen,Strategy,"April 3, 2018",0.1.219,2.3.3 and up
AG Subway Simulator Lite,FAMILY,4.4,6738,56M,100000,Free,0,Everyone,Simulation,"June 8, 2018",1.2.6,4.1 and up
Samsung SMART CAMERA App,PHOTOGRAPHY,4.0,34753,22M,1000000,Free,0,Everyone,Photography,"July 3, 2018",1.4.0_180703,4.2 and up
Walk with Map My Walk,HEALTH_AND_FITNESS,4.5,144050,55M,5000000,Free,0,Everyone,Health & Fitness,"July 27, 2018",18.7.1,5.0 and up
Do Not Crash,FAMILY,3.7,56664,8.3M,1000000,Free,0,Everyone,Casual,"February 5, 2015",1.4,2.3 and up
KFC CZ,LIFESTYLE,2.8,1189,18M,100000,Free,0,Everyone,Lifestyle,"June 27, 2018",5.1.0,4.0.3 and up
Google Play Movies & TV,VIDEO_PLAYERS,3.7,906384,Varies with device,1000000000,Free,0,Teen,Video Players & Editors,"August 6, 2018",Varies with device,Varies with device
Uber Driver,BUSINESS,4.4,1254730,Varies with device,10000000,Free,0,Everyone,Business,"August 3, 2018",Varies with device,Varies with device
Piano Tiles 2™,GAME,4.7,8118880,Varies with device,100000000,Free,0,Everyone,Arcade,"August 3, 2018",3.1.0.226,4.1 and up
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847144,4.2M,10000000,Free,0,Everyone,Photography,"November 10, 2017",4.7.4,4.0 and up
M-acceleration 3D Car Racing,GAME,3.9,1202,34M,100000,Free,0,Everyone,Racing,"June 28, 2018",1.6,4.1 and up
CJ Camcorder,VIDEO_PLAYERS,4.7,3,2.8M,500,Free,0,Everyone,Video Players & Editors,"November 26, 2017",1.0,4.0 and up
Zomato - Restaurant Finder and Food Delivery App,FOOD_AND_DRINK,4.3,511228,Varies with device,10000000,Free,0,Everyone,Food & Drink,"August 1, 2018",Varies with device,Varies with device
Artificial Intelligence,FAMILY,3.9,339,4.2M,50000,Free,0,Everyone,Education,"April 5, 2018",6.2,4.0 and up
GMAT Math Flashcards,EDUCATION,4.4,1769,Varies with device,100000,Free,0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device
Monefy - Money Manager,FINANCE,4.6,111254,7.4M,1000000,Free,0,Everyone,Finance,"July 3, 2018",1.8.9,4.0 and up
BNCR Token Celular,FINANCE,3.7,913,70k,100000,Free,0,Everyone,Finance,"July 20, 2012",1.0,1.5 and up
F*ck This Game,GAME,4.6,8,6.3M,100,Paid,99,Teen,Action,"July 18, 2015",1.0.0,2.3 and up
Messenger,SOCIAL,4.1,68025,3.9M,10000000,Free,0,Everyone,Social,"April 16, 2018",1.0,4.1 and up
S Player - Lightest and Most Powerful Video Player,TOOLS,4.6,14224,7.1M,1000000,Free,0,Everyone,Tools,"October 12, 2017",1.0.98_ww,2.3 and up
Camera V7 24 Megapixel,PHOTOGRAPHY,4.0,2480,2.5M,100000,Free,0,Everyone,Photography,"August 1, 2018",4.0,4.1 and up
Exchange Bank - EB Mobile,FINANCE,4.6,8,31M,1000,Free,0,Everyone,Finance,"May 2, 2018",18.1.79,5.0 and up
Du Chinese – Mandarin Lessons,FAMILY,4.8,3390,9.2M,100000,Free,0,Everyone,Education,"October 3, 2017",1.5.0,4.1 and up
"Microsoft To-Do: List, Task & Reminder",PRODUCTIVITY,4.1,14432,16M,1000000,Free,0,Everyone,Productivity,"July 31, 2018",1.36.82,4.4 and up
Dubai Racing,GAME,4.2,16237,23M,500000,Free,0,Everyone,Racing,"December 23, 2015",1.9.1,2.3 and up
20 Minuten (CH),NEWS_AND_MAGAZINES,3.5,14153,Varies with device,1000000,Free,0,Everyone 10+,News & Magazines,"August 3, 2018",Varies with device,Varies with device
Bridge Constructor Playground FREE,FAMILY,3.9,137377,30M,5000000,Free,0,Everyone,Simulation,"April 12, 2017",2.2,4.0.3 and up
Telemundo Deportes - Live,SPORTS,4.5,36255,25M,1000000,Free,0,Everyone,Sports,"August 1, 2018",5.10.5,4.1 and up
CJmall,SHOPPING,3.6,18252,10M,10000000,Free,0,Everyone,Shopping,"August 6, 2018",6.3.8,4.1 and up
ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700,37M,100000,Free,0,Everyone,Medical,"June 21, 2018",3.3.0,4.4 and up
GPS Traffic Speedcam Route Planner by ViaMichelin,MAPS_AND_NAVIGATION,4.3,63920,29M,5000000,Free,0,Everyone,Maps & Navigation,"July 28, 2018",7.16.8,4.0.3 and up
Teenage Chat & Dating,DATING,3.4,5,14M,500,Free,0,Mature 17+,Dating,"July 9, 2018",1.2,4.1 and up
Virtual Families 2,FAMILY,4.2,636228,Varies with device,10000000,Free,0,Everyone,Casual,"July 19, 2018",Varies with device,Varies with device
School of Dragons,FAMILY,4.1,530792,Varies with device,10000000,Free,0,Everyone,Role Playing;Action & Adventure,"May 30, 2018",Varies with device,Varies with device
"Topbuzz: Breaking News, Videos & Funny GIFs",NEWS_AND_MAGAZINES,4.7,174827,25M,10000000,Free,0,Mature 17+,News & Magazines,"August 4, 2018",6.7.3,4.0 and up
FINAL FANTASY V,FAMILY,4.5,15924,4.2M,100000,Paid,799,Teen,Role Playing,"March 15, 2017",1.2.1,4.0 and up
Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3.9M,500000,Free,0,Everyone,Business,"July 8, 2018",3.3,4.1 and up
AU Call Blocker - Block Unwanted Calls Texts 2018,COMMUNICATION,4.2,16,3.3M,1000,Free,0,Everyone,Communication,"April 24, 2018",1.0.4,4.1 and up
New YAHTZEE® With Buddies Dice Game,GAME,4.1,42079,93M,5000000,Free,0,Everyone,Board,"July 5, 2018",5.6.5,4.1 and up
Free Resume Builder – CV Maker,BUSINESS,4.4,25,12M,5000,Free,0,Everyone,Business,"June 9, 2018",1.5,4.4 and up
Video Player All Format,VIDEO_PLAYERS,4.8,258277,Varies with device,10000000,Free,0,Everyone,Video Players & Editors,"August 3, 2018",Varies with device,4.3 and up
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111450,Varies with device,5000000,Free,0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device
Super Jim Jump - pixel 3d,GAME,4.5,10460,18M,1000000,Free,0,Everyone,Arcade,"July 11, 2018",2.2.3181,4.0 and up
Pineapple Pen,GAME,4.3,157264,65M,10000000,Free,0,Everyone,Arcade,"December 30, 2016",1.31,4.0.3 and up
CVS Caremark,MEDICAL,3.5,3707,10M,500000,Free,0,Everyone,Medical,"July 28, 2018",4.36,4.4 and up
EF English Live for tablets,FAMILY,3.1,1242,14M,50000,Free,0,Everyone,Education,"April 24, 2018",1.7.0,4.4 and up
"RetailMeNot - Coupons, Deals & Discount Shopping",SHOPPING,4.4,210208,Varies with device,10000000,Free,0,Everyone,Shopping,"August 1, 2018",Varies with device,Varies with device
EV Charging,MAPS_AND_NAVIGATION,3.5,8,32M,1000,Free,0,Everyone,Maps & Navigation,"August 1, 2017",2.0.0,4.1 and up
DP Maker,PHOTOGRAPHY,4.2,784,18M,100000,Free,0,Everyone,Photography,"April 29, 2018",1.00.15,4.1 and up
Vaniday - Beauty Booking App,LIFESTYLE,3.6,1067,Varies with device,100000,Free,0,Everyone,Lifestyle,"March 20, 2018",3.8.15,4.1 and up
BD Online Passport Application,FAMILY,4.6,12,2.4M,5000,Free,0,Everyone,Education,"October 7, 2017",3.0,4.0.3 and up
Living Smart Home,HOUSE_AND_HOME,4.6,39189,Varies with device,1000000,Free,0,Everyone,House & Home,"July 30, 2018",Varies with device,Varies with device
"Yahoo! transit guide free timetable, operation information, transfer search",MAPS_AND_NAVIGATION,4.4,104800,22M,10000000,Free,0,Everyone,Maps & Navigation,"July 26, 2018",7.0.1,4.0 and up
"AT&T Navigator: Maps, Traffic",TRAVEL_AND_LOCAL,3.6,32862,14M,10000000,Free,0,Everyone,Travel & Local,"December 6, 2016",5.10.6.2.8466393,4.1 and up
Lite for Facebook Messenger,COMMUNICATION,4.3,76498,4.3M,1000000,Free,0,Teen,Communication,"June 20, 2018",6.3.2,Varies with device
AE Bubble:Offline Bubble Games,FAMILY,4.2,6973,Varies with device,100000,Free,0,Everyone,Casual,"October 20, 2017",Varies with device,Varies with device
100 Doors of Revenge,FAMILY,4.1,105766,48M,10000000,Free,0,Teen,Puzzle,"May 24, 2018",2.2.2,4.4 and up
Digg,NEWS_AND_MAGAZINES,3.9,6105,Varies with device,100000,Free,0,Teen,News & Magazines,"March 11, 2016",Varies with device,Varies with device
EA SPORTS™ FIFA 18 Companion,SPORTS,3.9,282727,63M,10000000,Free,0,Everyone,Sports,"December 7, 2017",18.0.5.172734,4.4 and up
DM Screen,BOOKS_AND_REFERENCE,4.4,283,5.4M,10000,Free,0,Everyone 10+,Books & Reference,"January 12, 2018",1.1.10a,4.0 and up
Dz Dinars Numbers to letters,PRODUCTIVITY,4.7,2807,9.8M,100000,Free,0,Everyone,Productivity,"December 15, 2016",0.74 11.12.2016,4.0.3 and up
Daily DM,PERSONALIZATION,4.7,51,259k,1000,Free,0,Everyone,Personalization,"October 4, 2013",1.0,2.1 and up
DT Driving Test Theory,FAMILY,4.6,477,1.6M,10000,Free,0,Everyone,Education,"February 22, 2018",1.1,4.0.3 and up
MJX H,FAMILY,3.7,126,13M,10000,Free,0,Everyone,Entertainment,"August 22, 2017",1.0-build20170819,4.1 and up
Iqiyi (for tablet),VIDEO_PLAYERS,3.6,12764,25M,1000000,Free,0,Teen,Video Players & Editors,"July 11, 2018",7.1,4.0 and up
Credit Karma,FINANCE,4.7,706301,Varies with device,10000000,Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
Uber Eats: Local Food Delivery,FOOD_AND_DRINK,4.2,333208,34M,10000000,Free,0,Everyone,Food & Drink,"August 1, 2018",1.161.10002,5.0 and up
AP Math & Computer Science,FAMILY,3.7,37,9.5M,5000,Free,0,Everyone,Education,"July 19, 2015",2.16,2.3 and up
Opera News - Trending news and videos,NEWS_AND_MAGAZINES,4.5,51684,8.5M,10000000,Free,0,Teen,News & Magazines,"July 31, 2018",4.2.2254.129147,Varies with device
Dr. Doug's Tips,BOOKS_AND_REFERENCE,4.0,22,34M,1000,Free,0,Everyone,Books & Reference,"September 1, 2016",1.1,2.3 and up
Earth & Moon in HD Gyro 3D Parallax Live Wallpaper,PERSONALIZATION,4.5,66321,18M,5000000,Free,0,Everyone,Personalization,"June 11, 2018",2.4,4.1 and up
Learn to Speak English,EDUCATION,4.4,33646,7.0M,1000000,Free,0,Everyone,Education,"July 15, 2018",2.3.9,4.0 and up
Jumia online shopping,SHOPPING,4.3,162655,8.1M,10000000,Free,0,Teen,Shopping,"July 10, 2018",4.7.1,4.4 and up
FD e-paper,NEWS_AND_MAGAZINES,3.1,183,7.1M,10000,Free,0,Everyone,News & Magazines,"July 4, 2018",2.2.9,4.1 and up
Super Mario Run,GAME,3.7,1221896,70M,100000000,Free,0,Everyone,Action,"July 12, 2018",3.0.11,4.2 and up
Let's Poke The Egg,GAME,3.4,9051,23M,1000000,Free,0,Everyone,Arcade,"February 4, 2017",1.2,2.3 and up
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99M,10000000,Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up
"Real Estate, Car, Shopping and Others",SHOPPING,4.3,568273,Varies with device,10000000,Free,0,Everyone,Shopping,"August 4, 2018",Varies with device,Varies with device
Chinese Chess ( Xiangqi Free ),GAME,4.6,963,4.1M,50000,Free,0,Everyone,Board,"April 18, 2017",1.1.1,2.3 and up
Caf - My Account,LIFESTYLE,3.9,18961,1.8M,5000000,Free,0,Everyone,Lifestyle,"September 24, 2015",1.1.1,2.3 and up
Truck Transport Raw Material,FAMILY,4.2,632,50M,100000,Free,0,Everyone,Simulation,"July 20, 2018",1.4,4.1 and up
Preferences Manager and SQLite DB Viewer,TOOLS,3.5,13,3.0M,1000,Free,0,Everyone,Tools,"July 18, 2017",1.01,4.0 and up
"Technutri - calorie counter, diet and carb tracker",HEALTH_AND_FITNESS,4.4,70416,23M,5000000,Free,0,Everyone,Health & Fitness,"July 27, 2018",3.19.4,4.1 and up
DG Users,PRODUCTIVITY,4.5,8,3.1M,100,Free,0,Everyone,Productivity,"June 7, 2018",1.2,4.0.3 and up
AS - News and sports results.,SPORTS,3.7,20879,22M,1000000,Free,0,Everyone,Sports,"June 9, 2018",5.1.13,4.1 and up
"Candy Camera - selfie, beauty camera, photo editor",PHOTOGRAPHY,4.4,3368649,Varies with device,100000000,Free,0,Everyone,Photography,"July 16, 2018",4.47,4.0.3 and up
Tie - Always be happy,BEAUTY,4.7,964,9.0M,50000,Free,0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up
Rope'n'Fly 4,GAME,4.1,234606,59M,10000000,Free,0,Everyone,Action,"January 29, 2018",3.1,2.3 and up
Barbie™ Fashion Closet,GAME,4.1,68057,85M,10000000,Free,0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up
JOBS.bg,BUSINESS,4.4,1630,2.2M,100000,Free,0,Everyone,Business,"August 22, 2017",3.1.0,4.4 and up
Rent.com Apartment Homes,HOUSE_AND_HOME,4.0,7508,5.1M,1000000,Free,0,Everyone,House & Home,"July 9, 2018",7.9.0,5.0 and up
Batman: Gotham’s Most Wanted!,FAMILY,4.0,16190,88M,1000000,Free,0,Everyone,Action;Action & Adventure,"April 24, 2018",2.1.1,4.0 and up
Frim: get new friends on local chat rooms,SOCIAL,4.0,88486,Varies with device,5000000,Free,0,Mature 17+,Social,"March 23, 2018",Varies with device,Varies with device
converter video to mp3,LIBRARIES_AND_DEMO,4.4,783,6.4M,100000,Free,0,Everyone,Libraries & Demo,"June 10, 2017",1.6,2.2 and up
The Wall Street Journal: Business & Market News,NEWS_AND_MAGAZINES,4.1,40975,36M,1000000,Free,0,Everyone 10+,News & Magazines,"August 2, 2018",4.4.2.19,4.1 and up
Kicker U,LIFESTYLE,4.1,124,37M,5000,Paid,399,Everyone,Lifestyle,"June 13, 2018",3.04,4.0.3 and up
ZALORA Fashion Shopping,SHOPPING,4.2,142512,15M,10000000,Free,0,Everyone,Shopping,"July 25, 2018",6.2.0,4.1 and up
Lep's World 2 🍀🍀,GAME,4.3,798522,57M,100000000,Free,0,Everyone 10+,Arcade,"June 7, 2018",1.9.8.0,4.1 and up
GirlTalk.dk,SOCIAL,4.3,3,5.3M,100,Free,0,Teen,Social,"September 22, 2017",3.1.0,4.1 and up
Maps - Navigate & Explore,TRAVEL_AND_LOCAL,4.3,9231613,Varies with device,1000000000,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
Farming Simulator 14,FAMILY,4.5,530854,51M,10000000,Free,0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up
yHomework - Math Solver,FAMILY,4.2,50771,Varies with device,1000000,Free,0,Everyone,Education,"May 12, 2016",Varies with device,Varies with device
HTC Sense Input-CA,TOOLS,3.1,124,1.9M,100000,Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
CI Capital - Dynamic,FINANCE,4.8,4,5.1M,50,Free,0,Everyone,Finance,"May 23, 2018",1.0.17.0423,5.0 and up
Noticias FC Barcelona,NEWS_AND_MAGAZINES,5.0,4,3.1M,100,Free,0,Everyone,News & Magazines,"June 15, 2018",1.3,4.4 and up
"Dolphin Browser - Fast, Private & Adblock🐬",COMMUNICATION,4.5,2511130,Varies with device,50000000,Free,0,Everyone,Communication,"July 2, 2018",Varies with device,Varies with device
EZ LED,TOOLS,2.2,19,2.1M,1000,Free,0,Everyone,Tools,"September 5, 2017",1.1,4.3 and up
Johns Hopkins Guides ABX...,MEDICAL,4.7,73,6.3M,10000,Free,0,Everyone,Medical,"December 8, 2017",2.7.36,4.1 and up
ABC15 Arizona,NEWS_AND_MAGAZINES,3.6,1820,Varies with device,100000,Free,0,Everyone,News & Magazines,"July 5, 2018",Varies with device,Varies with device
DT future1 cam,TOOLS,1.0,1,24M,50,Free,0,Everyone,Tools,"March 27, 2018",3.1,2.2 and up
3D Color by Number with Voxels,FAMILY,4.5,5481,69M,500000,Free,0,Everyone,Entertainment,"July 7, 2018",1.3,4.4 and up
Neighborhoods & Apartments,LIFESTYLE,3.9,2042,3.0M,100000,Free,0,Everyone,Lifestyle,"August 28, 2015",3.1.6,4.0 and up
Resume & CV Creator by Desygner,PRODUCTIVITY,4.5,48,26M,5000,Free,0,Everyone,Productivity,"July 23, 2018",2.11.1,5.0 and up
Going Abroad,FAMILY,3.0,606,42M,50000,Free,0,Everyone 10+,Educational,"August 16, 2016",1.2,4.0 and up
DK Pittsburgh Sports,SPORTS,4.1,556,3.3M,10000,Free,0,Everyone,Sports,"July 26, 2018",3.0.5,4.2 and up
Voxer Walkie Talkie Messenger,COMMUNICATION,4.3,230564,Varies with device,10000000,Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device
Learn JavaScript,EDUCATION,4.6,25183,5.4M,1000000,Free,0,Everyone,Education,"December 25, 2017",5.7.2,4.0 and up
AI Benchmark,TOOLS,4.0,97,99M,5000,Free,0,Everyone,Tools,"June 29, 2018",2.0.0,4.1 and up
Princess Coloring Book,FAMILY,4.5,9779,39M,5000000,Free,0,Everyone,Education;Creativity,"February 25, 2018",1.2.8,4.0 and up
Dictionary.com: Find Definitions for English Words,BOOKS_AND_REFERENCE,4.6,899010,Varies with device,10000000,Free,0,Everyone,Books & Reference,"July 30, 2018",Varies with device,Varies with device
Let's Learn Alif Ba Ta,FAMILY,4.6,32,60M,10000,Free,0,Everyone,Education,"November 29, 2017",6,4.0.3 and up
Video Editor,VIDEO_PLAYERS,3.8,1156,23M,100000,Free,0,Everyone,Video Players & Editors,"October 20, 2015",1.3.9b,4.3 and up
Cheapflights – Flight Search,TRAVEL_AND_LOCAL,4.4,47777,19M,5000000,Free,0,Everyone,Travel & Local,"July 31, 2018",Varies with device,Varies with device
CF cal,TOOLS,4.3,123,2.9M,10000,Free,0,Everyone,Tools,"February 9, 2016",1.0.6,4.0 and up
ER Heart Surgery - Emergency Simulator Game,FAMILY,4.3,429,40M,100000,Free,0,Everyone,Educational,"July 19, 2018",2.0,4.1 and up
abeoCoder,MEDICAL,3.1,83,3.2M,10000,Free,0,Everyone,Medical,"July 30, 2018",6.6,4.1 and up
Pregnancy Week By Week,MEDICAL,4.8,78825,11M,1000000,Free,0,Everyone,Medical,"August 2, 2018",1.2.16,4.1 and up
CL Clock,BUSINESS,2.7,7,1.3M,1000,Free,0,Everyone,Business,"July 22, 2016",1.0,5.0 and up
DSLR camera - Auto Focus and Blur Professional,PHOTOGRAPHY,3.4,30,3.0M,10000,Free,0,Everyone,Photography,"April 18, 2018",5.1.2,4.0.3 and up
Merck CE,BUSINESS,4.5,2,25M,100,Free,0,Everyone,Business,"February 13, 2017",1.0,4.1 and up
BI Office,BUSINESS,4.0,76,201k,10000,Free,0,Everyone,Business,"June 7, 2017",2.7.1,3.0 and up
EO SouthAsia,BUSINESS,4.2,8,19M,100,Free,0,Teen,Business,"April 25, 2018",1.0.23,4.1 and up
